battery,cycle,charge_voltage_avg,charge_voltage_min,charge_voltage_max,charge_current_avg,charge_current_min,charge_current_max,charge_temp_avg,charge_temp_min,charge_temp_max,charge_duration_s,discharge_voltage_avg,discharge_voltage_min,discharge_voltage_max,discharge_current_avg,discharge_current_min,discharge_current_max,discharge_temp_avg,discharge_temp_min,discharge_temp_max,discharge_duration_s,RUL,capacity_Ah
B0005,1,4.187419504014827,3.479393559379272,4.2099486995035615,0.6434546691871927,-4.030268477538787,1.5143932321982565,25.32407901830568,24.167061880805868,27.445134031590747,7597.875,3.52982866886934,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,0.0007285852728454,32.572328114029,24.325993424022467,38.98218133148803,3690.234,167,1.8564874208181568
B0005,2,4.058826443375249,3.001950570776504,4.213016370444398,0.949042672725116,-3.361982908688226,1.5151784093535638,26.635622628116085,24.52851520043705,29.34194895777482,10516.0,3.5373201277859714,2.587208728940726,4.189773213846608,-1.817559850661287,-2.016820542901454,0.0029274033590803,32.72523522519307,24.685948163596,39.03339796678704,3672.344,166,1.846327249719927
B0005,3,4.058138828852896,3.0358785775794024,4.212788046609961,0.9505286974657304,-3.384407789097242,1.5168939445650549,26.77817550789669,24.60017378652301,29.553300732538816,10484.547,3.5437367282719,2.65191689384378,4.188186735991303,-1.816486541884096,-2.016573862170142,0.001483676365228,32.64286193755933,24.7342661639544,38.81879668981741,3651.641,165,1.835349194223408
B0005,4,4.058904789088504,3.0661450551857485,4.212924011950438,0.952311520621674,-3.4122633601213583,1.5175028479320207,26.70320405781683,24.49334629714403,29.456340289732644,10397.89,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,0.0015470119527235,32.51487646204882,24.65224374129252,38.7623045063458,3631.563,164,1.8352625275821128
B0005,5,4.058329981003973,3.0637656606174013,4.2128738833616,0.9477284862498988,-3.403625146732859,1.5169487474809895,26.617004288392003,24.42016992589388,29.4813335075363,10495.203,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277584,-2.017425579158831,0.0017014548245034,32.38234901543077,24.518700434435164,38.66539257343368,3629.172,163,1.8346455082120416
B0005,6,4.059785107501149,3.0593224041262927,4.212763963219923,0.93266069438483,-3.3944513625869224,1.5165104184246716,26.51849450408942,24.41186883829393,29.39582042914756,10792.672,3.541334734634757,2.5209480504077413,4.188815807948604,-1.8168108743168805,-2.0162347618032066,0.0024899497555445,32.43418218230641,24.51442664842638,38.75169504640032,3652.281,162,1.8356616600675493
B0005,7,4.058914241429766,3.0533599221041614,4.213176751734383,0.9322724824266048,-3.401390462320561,1.5149343200832288,26.620706323978894,24.52745754186332,29.43842411948605,10789.985,3.541025049507521,2.487927319492314,4.18839163793879,-1.816791144707133,-2.01583310669507,0.0023142958827398,32.480416444757985,24.575581239008407,38.8207012322275,3650.828,161,1.8351461429226603
B0005,8,4.053425643583468,3.048720950345317,4.212850577044761,0.9653291698755072,-3.385806497377117,1.516037681196602,26.73791888890172,24.54571478443476,29.51081056398121,10127.562,3.554133296801584,2.665204904745877,4.188927891511958,-1.844341212075406,-2.0166395518034546,0.0022276160569156,32.41046186109587,24.71132429046902,38.51713023385634,3572.453,160,1.8257567905665533
B0005,9,4.055637707823975,3.0824222303522406,4.213141772335243,0.9616213808811536,-3.43387007729948,1.5173922491512082,26.74145703066146,24.51382202883513,29.668813794471543,10147.952999999994,3.5529355991467955,2.603858472633368,4.189029250882121,-1.853972745505648,-2.018357230695621,0.0054010283210214,32.3461408313,24.628487294051176,38.526267904657,3550.594,159,1.8247738529891333
B0005,10,4.055138987448824,3.075795646323062,4.212949842741421,0.9608152867945828,-3.416543780338169,1.517754813457655,26.7021703105932,24.435380667117133,29.77928873582229,10162.094,3.5512057319377,2.552853984885676,4.189223427076418,-1.853589933851096,-2.016071837814984,0.0030191479674457,32.27679750791685,24.561560340089137,38.52698128472781,3551.25,158,1.824613268496936
B0005,11,4.054491573689291,3.06985284508505,4.2132271723869295,0.961954518108792,-3.4217714333372964,1.5160463401115014,26.608132946993933,24.32273250630084,29.71100043300344,10119.375,3.549292319740949,2.472448301852732,4.188916055911241,-1.863380178294828,-2.0160713863396573,0.0026264001899385,32.15709350345252,24.43128509546442,38.54143406601644,3530.25,157,1.8246195526864504
B0005,12,4.0526146919932,3.0612589860161115,4.212826399381091,0.9688176644385617,-3.4044907346629887,1.5169315449208305,26.63314786563377,24.44909427715232,29.79634895864274,10013.235,3.559759220648976,2.64956413267546,4.189876247266316,-1.872968810287894,-2.016851865845563,0.0023645237017673,32.36407129853099,24.74037188089418,38.52197451768004,3491.016,156,1.814201935767392
B0005,13,4.076087195502948,3.34157125606709,4.212863906558764,0.948479102987148,-3.78388997609184,1.517755800661927,27.033644494333256,24.588334332873952,30.37677905152779,9586.875,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160835,-2.016393908986775,0.001858378552761,32.3181954403762,24.73310769931152,38.582485834057856,3470.281,155,1.8137521577549047
B0005,14,4.054612747973269,3.092615790717664,4.212724851227894,0.9671176035785914,-3.438089429131737,1.5187305848630464,26.87061818774568,24.582626408111885,30.05302011094364,9952.359,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,-2.0158117255163046,0.0022664654273509,32.15709029211502,24.44798340505406,38.52029413487392,3470.0,154,1.8134404914735824
B0005,15,4.059265909682025,3.082964486167869,4.213057848582499,0.9281364622466176,-3.4334448239833244,1.516640506364978,26.738987031481408,24.46895730598046,30.16846884368072,10758.031000000004,3.562746818017503,2.694621861688723,4.189110301768517,-1.8817935155260213,-2.0193509920362724,0.0013199464372558,32.04407000314609,24.46309712112356,38.21358592965045,3450.297,153,1.8025980036306504
B0005,16,4.053495431054621,3.0770823404741723,4.213191057068328,0.9687280220511734,-3.432001975216655,1.5169693958592914,26.692190227813647,24.320043101365822,30.06078601207466,9921.75,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,-2.0164420273602586,0.0030782527761262,31.93159367491153,24.32051139249706,38.1983618706913,3429.407,152,1.80210690024615
B0005,17,4.057009589497505,3.1099815648289453,4.212768567166564,0.9622055340791628,-3.482051074636857,1.5155189973310466,26.56331347092116,24.20946413821345,29.84105303532721,10000.25,3.5603420474985823,2.573903509838096,4.188899969428112,-1.9027629207037409,-2.016465255161054,0.00090184864654,31.941655359029298,24.357321702352365,38.31926916027133,3409.484,151,1.802579500826209
B0005,18,4.056509050138727,3.1054460082871422,4.21291099996523,0.9646896474341132,-3.4790104488850004,1.517095395882731,26.52595276450022,24.16215646264796,29.90236309006016,9936.031,3.5591189041401865,2.4942396831720126,4.188779799856791,-1.913347060582244,-2.0181069603406625,-0.0004481239748701,31.965008645476725,24.382419922756025,38.4787542519308,3390.422,150,1.8030683142834096
B0005,19,4.055991881873581,3.098521142673477,4.213175415157681,0.962272056961881,-3.461446831236046,1.5164629383150432,26.591676949772925,24.228713761357017,30.108307461804788,9989.532,3.557886771846508,2.4556793246645583,4.189272591516219,-1.9131602105481536,-2.0170254305215485,0.0023375587090041,31.966241678512723,24.355030419469987,38.54659017774874,3390.281,149,1.802777624719604
B0005,20,4.056478346718693,3.089171188226161,4.212972694840331,0.9537153567418096,-3.450379445041623,1.5161161861598926,26.645032205307864,24.241843287727782,30.32132377942574,10158.782,3.5520375235511907,2.632142800798914,4.187614060563439,-1.8553455745575973,-2.01684718332263,0.0059551658046401,32.37143341978575,24.54942444728521,38.44749852224995,3591.734,148,1.8470259949329195
B0005,21,4.079851333950047,3.235784344365443,4.212806303346363,0.9411642330468534,-3.646980102654795,1.5167316228940972,25.66324460965096,24.19543355059427,29.01875034428269,10289.312,3.5525668436897124,2.5027764692056795,4.187628781108399,-1.8746995273150973,-2.016190951623346,0.0016182635202416,32.70024990461686,24.917503693363493,38.992275791716615,3552.297,147,1.847417311283644
B0005,22,4.057903790387567,3.0683685778510936,4.213442172806784,0.9612867786553304,-3.398836643486512,1.5153264287158423,26.0150180001194,24.71458123416169,29.35647195784361,10283.077999999994,3.556794038327039,2.617507742871704,4.187447226312926,-1.873827212788385,-2.016760348146938,0.0025192157843694,32.32266411829938,24.56596639952811,38.51424197364312,3531.578,146,1.8361774213478947
B0005,23,4.056383883924776,3.062344528295997,4.212832102518414,0.963212383695507,-3.4078891045691866,1.516710708987509,26.09181445728815,24.72019995172364,29.32754285404437,10281.39,3.5614100044534203,2.694074478000972,4.187344026387161,-1.883193546754683,-2.0160230713598764,0.0037933120349866,31.98795810666763,24.21658146702539,38.165816144899125,3492.907,145,1.825780747577624
